crLowerLeft			czLowerLeft			crUpperLeft			czUpperLeft			dsa			psiSOLPS			
2.27108838			-0.24080467			2.27125483			-0.24081157			-0.1250152861056121			0.5054196929263185			
2.27125483			-0.24081157			2.2878996			-0.2415013			-0.11684299281233629			0.5340268319545518			
2.2878996			-0.2415013			2.30254102			-0.24227738			-0.1016269258215464			0.5884117433184848			
2.30254102			-0.24227738			2.31551452			-0.24309725			-0.08818710337024936			0.6383773219916037			
2.31551452			-0.24309725			2.32706768			-0.24393366			-0.07625187793779406			0.684171847613805			
2.32706768			-0.24393366			2.33741105			-0.24477141			-0.06561755255851151			0.7260670283890531			
2.33741105			-0.24477141			2.34665459			-0.24559487			-0.056120390772940384			0.7642606930939937			
2.34665459			-0.24559487			2.35488177			-0.24638785			-0.047645914251008045			0.7988276227415525			
2.35488177			-0.24638785			2.36223502			-0.24714564			-0.040094909016198596			0.8299971942932843			
2.36223502			-0.24714564			2.3687527			-0.24785734			-0.03337433186453523			0.8579775449527276			
2.3687527			-0.24785734			2.37452356			-0.2485196			-0.027418813723199265			0.8829103562707628			
2.37452356			-0.2485196			2.37961625			-0.24913058			-0.022166210741353276			0.9050282831295171			
2.37961625			-0.24913058			2.38408776			-0.24968794			-0.017544226756471548			0.92453219086474			
2.38408776			-0.24968794			2.38796616			-0.25018726			-0.013506970198250853			0.9415648676691082			
2.38796616			-0.25018726			2.39129728			-0.2506287			-0.010021823841366143			0.9562627272860887			
2.39129728			-0.2506287			2.39414606			-0.25101603			-0.0070331810184108695			0.9688474869846957			
2.39414606			-0.25101603			2.39659162			-0.25135578			-0.004480202516708345			0.9796139834338107			
2.39659162			-0.25135578			2.39864531			-0.25164599			-0.0023085818251597917			0.9887509831232306			
2.39864531			-0.25164599			2.4003526			-0.25189062			-0.0004898286319374306			0.9963794547368618			
2.4003526			-0.25189062			2.40067763			-0.25193251			0.0004898286319374445			1.0004971779887077			
2.40067763			-0.25193251			2.4010565			-0.25198035			0.0008285599128319276			1.0019192330131514			
2.4010565			-0.25198035			2.4015011			-0.25203621			0.001224760813772069			1.0035819367568652			
2.4015011			-0.25203621			2.40202143			-0.25210174			0.0016890166113191774			1.0055295258536776			
2.40202143			-0.25210174			2.40262745			-0.25217861			0.0022309792990405086			1.0078021825607217			
2.40262745			-0.25217861			2.40332913			-0.25226846			0.0028602942578696555			1.0104398963297454			
2.40332913			-0.25226846			2.40413642			-0.25237308			0.0035865980854786483			1.0134825175578528			
2.40413642			-0.25237308			2.40505922			-0.25249419			0.0044195072609745645			1.0169695957176301			
2.40505922			-0.25249419			2.40610745			-0.25263357			0.005368554564804423			1.0209403956457357			
2.40610745			-0.25263357			2.40729095			-0.25279312			0.006442572216186798			1.0254338628588378			
2.40729095			-0.25279312			2.40861345			-0.25297401			0.007649656565758223			1.0304762767338098			
2.40861345			-0.25297401			2.41011099			-0.2531824			0.009005237227939833			1.0361464549423387			
2.41011099			-0.2531824			2.41178921			-0.25341992			0.010524501468160669			1.042526603349311			
2.41178921			-0.25341992			2.41364553			-0.25368704			0.012214443715298368			1.04962068719064			
2.41364553			-0.25368704			2.41568479			-0.25398541			0.014085545184019693			1.0574307604089328			
2.41568479			-0.25398541			2.417918			-0.25431853			0.01614127541950347			1.065986102375828			
2.417918			-0.25431853			2.42035653			-0.25469019			0.01838664846216362			1.0753289552367955			
2.42035653			-0.25469019			2.42300966			-0.25510385			0.02083471516257862			1.0854975871594736			
2.42300966			-0.25510385			2.42303619			-0.25510799			0.022123247154313963			1.090845462476853			
